Market,Investor,Duration,Direction,Threshold,Signal_Count,Avg_Flow,Median_Flow,Avg_Return_10D,Median_Return_10D,Std_Return_10D,Win_Rate_10D,Max_Gain_10D,Max_Loss_10D,Avg_Return_20D,Median_Return_20D,Std_Return_20D,Win_Rate_20D,Max_Gain_20D,Max_Loss_20D
KOSPI200,금융투자,10,SELL,1.5,98868,-7603457766.819998,-1730554350.0,0.9927535953739894,0.2544529262086481,8.559217938568214,51.20665938422948,218.3034142907427,-39.15802349583344,1.795801239516122,0.36474177612615394,12.588090760165318,51.34893547862831,168.67567567567568,-46.46925409648072
KOSPI200,연기금,10,BUY,1.5,107300,9616416940.240068,3920686725.0,0.6806497627389692,-0.04145548790521195,8.814479270749212,48.93569431500466,218.3034142907427,-43.692365746090886,1.3224687766507428,-0.1683501683501731,12.772675700054197,48.84865794195846,204.54545454545453,-51.14882753403933
KOSPI200,연기금,10,SELL,1.5,114499,-11540977495.071737,-3987421185.0,0.7227513070586438,0.0,8.090629897088263,49.88165835509481,141.4174972314507,-46.7,1.5177999552436827,0.1974335586375719,11.754780777441374,50.61405363498608,245.97800095648017,-53.400000000000006
KOSPI200,개인,20,BUY,1.5,103456,60365716903.16196,13239190750.0,0.7743816474396288,0.16927637394676948,8.27322203815198,50.615720692854936,138.1294964028777,-46.7,1.531873985806244,0.26263964047857913,12.029518598114699,50.9137441127243,168.013468013468,-53.400000000000006
KOSPI200,개인,20,SELL,1.5,117402,-52294550806.079666,-15124372965.0,0.6560693440306834,-0.13527237460886904,8.596994688371137,48.55709442769288,218.3034142907427,-43.692365746090886,1.3706933950610163,-0.1650165016501614,12.530425104141434,48.86091849200751,245.97800095648017,-51.14882753403933
KOSPI200,외국인,20,BUY,1.5,110727,48838823006.28013,13070617362.5,0.802672697831402,0.0,8.612227559114046,49.43419400868804,218.3034142907427,-43.692365746090886,1.545595403634816,0.0,12.56825547108796,49.50402156982411,245.97800095648017,-51.14882753403933
KOSPI200,외국인,20,SELL,1.5,110131,-52603589825.826256,-11791952950.0,0.6198140490200476,0.0,8.276709742983167,49.60910188775186,138.1294964028777,-46.7,1.3465419050650003,0.1140250855188096,12.019761284093175,50.146042210319095,158.29383886255926,-53.400000000000006
KOSPI200,금융투자,20,BUY,1.5,125643,14630294806.37454,3342992400.0,0.5513923422908363,-0.1666666666666705,8.320996583415038,48.27726176547838,111.00628930817612,-43.692365746090886,1.297964961609844,-0.052219677137871304,12.090279952334942,49.24391423504756,245.97800095648017,-51.14882753403933
KOSPI200,금융투자,20,SELL,1.5,95053,-10648318273.698706,-2449338450.0,0.9244267504563587,0.2499999999999946,8.604536831889154,51.17565989500594,218.3034142907427,-46.7,1.6439313289102775,0.19370464590978684,12.558043442029563,50.590866886131515,204.54545454545453,-53.400000000000006
KOSPI200,연기금,20,BUY,1.5,107825,16081338483.257895,7026003050.0,0.6563657704334861,-0.1344086021505375,8.811785216052192,48.59262694180385,218.3034142907427,-43.692365746090886,1.3105917067763349,-0.2119642486301698,12.909263737315793,48.62392186944564,204.54545454545453,-51.14882753403933
KOSPI200,연기금,20,SELL,1.5,112692,-20201143022.625786,-7221183090.0,0.759120122023207,0.1344086021505486,8.074209419384681,50.386895254321516,141.4174972314507,-46.7,1.5626857562406549,0.2551020408163351,11.666151820086561,50.917599477447006,245.97800095648017,-53.400000000000006
KOSPI200,개인,30,BUY,1.5,100825,82381792462.34549,17945282900.0,0.7477386170465506,0.1317523056653557,8.244264725294647,50.36151748078353,141.4174972314507,-46.7,1.5240971722690044,0.22234581633914224,12.015551465295667,50.72507190795782,245.97800095648017,-53.400000000000006
KOSPI200,개인,30,SELL,1.5,118173,-69409918127.27362,-20755924000.0,0.6791250666641853,-0.1109877913429535,8.60919894997505,48.75309926971474,218.3034142907427,-43.692365746090886,1.4039703866610358,-0.1173708920187754,12.528458356348073,49.1052046833604,204.54545454545453,-51.14882753403933
KOSPI200,외국인,30,BUY,1.5,110373,65477272670.00339,17868429070.0,0.7418542537919675,0.0,8.589087419490648,48.973027823833725,218.3034142907427,-38.40422044052338,1.4991504218901235,-0.0595592614651585,12.536327094409671,49.2654251574742,245.97800095648017,-51.14882753403933
KOSPI200,외국인,30,SELL,1.5,108625,-71439137178.66333,-15905946500.0,0.6790730772183605,0.0642260757867774,8.292247373060311,50.02255466052934,141.4174972314507,-46.7,1.4189764373862122,0.1681802892701034,12.044430726112852,50.447775045241514,168.013468013468,-53.400000000000006
KOSPI200,금융투자,30,BUY,1.5,127726,18587459943.907906,4175131100.0,0.6563989592984106,0.0,8.381731931851292,48.94226704038332,138.1294964028777,-46.7,1.478393866438306,0.0,12.041040512766903,49.881896005072925,161.05845181674567,-53.400000000000006
KOSPI200,금융투자,30,SELL,1.5,91140,-12899017162.681974,-2949731800.0,0.7862459644631741,0.1236093943139726,8.525932353746672,50.264428351985956,218.3034142907427,-39.15802349583344,1.4320973064713554,0.0,12.634594243660198,49.801862492569846,245.97800095648017,-51.14882753403933
KOSPI200,연기금,30,BUY,1.5,107971,21314017383.26614,9612814700.0,0.6809879476265103,-0.1109877913429535,8.87491404673938,48.76309379370387,218.3034142907427,-43.692365746090886,1.3367422605117774,-0.19267822736031,12.889921146146147,48.71861949118496,204.54545454545453,-50.11025110251103
