Period,Investor,Duration,Threshold,Direction,Signal_Count,Avg_Return_10D,Avg_Return_20D,Win_Rate_10D,Win_Rate_20D,Median_Return_20D,Std_Return_20D,Composite_Score
IS,개인,3,-0.5,SELL,2758,1.3500411562299857,2.2727906882876203,46.62799129804206,44.48875997099348,-2.002227171492205,22.3823366144364,8.010853031499872
OOS,개인,3,-0.5,SELL,1057,5.057125506874546,8.942425169190052,53.68888888888888,56.38599810785241,2.6604068857589924,25.678845762401686,35.11509167734763
IS,개인,3,0.0,BUY,1121,2.162165241434164,3.446650697220486,47.1900089206066,47.63603925066904,-0.8368200836820106,24.383615485904024,11.530481071360553
OOS,개인,3,0.0,BUY,312,4.095524746425585,7.471041218690222,49.53846153846154,52.88461538461539,1.4998228555682447,27.769230923942068,22.703429315502028
IS,개인,3,0.5,BUY,1121,2.162165241434164,3.446650697220486,47.1900089206066,47.63603925066904,-0.8368200836820106,24.383615485904024,11.530481071360553
OOS,개인,3,0.5,BUY,312,4.095524746425585,7.471041218690222,49.53846153846154,52.88461538461539,1.4998228555682447,27.769230923942068,22.703429315502028
IS,개인,3,1.0,BUY,1121,2.162165241434164,3.446650697220486,47.1900089206066,47.63603925066904,-0.8368200836820106,24.383615485904024,11.530481071360553
OOS,개인,3,1.0,BUY,312,4.095524746425585,7.471041218690222,49.53846153846154,52.88461538461539,1.4998228555682447,27.769230923942068,22.703429315502028
IS,개인,3,1.5,BUY,1121,2.162165241434164,3.446650697220486,47.1900089206066,47.63603925066904,-0.8368200836820106,24.383615485904024,11.530481071360553
OOS,개인,3,1.5,BUY,312,4.095524746425585,7.471041218690222,49.53846153846154,52.88461538461539,1.4998228555682447,27.769230923942068,22.703429315502028
IS,개인,3,2.0,BUY,1121,2.162165241434164,3.446650697220486,47.1900089206066,47.63603925066904,-0.8368200836820106,24.383615485904024,11.530481071360553
OOS,개인,3,2.0,BUY,312,4.095524746425585,7.471041218690222,49.53846153846154,52.88461538461539,1.4998228555682447,27.769230923942068,22.703429315502028
IS,개인,3,2.5,BUY,1121,2.162165241434164,3.446650697220486,47.1900089206066,47.63603925066904,-0.8368200836820106,24.383615485904024,11.530481071360553
OOS,개인,3,2.5,BUY,312,4.095524746425585,7.471041218690222,49.53846153846154,52.88461538461539,1.4998228555682447,27.769230923942068,22.703429315502028
IS,개인,3,3.0,BUY,1121,2.162165241434164,3.446650697220486,47.1900089206066,47.63603925066904,-0.8368200836820106,24.383615485904024,11.530481071360553
OOS,개인,3,3.0,BUY,312,4.095524746425585,7.471041218690222,49.53846153846154,52.88461538461539,1.4998228555682447,27.769230923942068,22.703429315502028
IS,개인,3,3.5,BUY,1121,2.162165241434164,3.446650697220486,47.1900089206066,47.63603925066904,-0.8368200836820106,24.383615485904024,11.530481071360553
OOS,개인,3,3.5,BUY,312,4.095524746425585,7.471041218690222,49.53846153846154,52.88461538461539,1.4998228555682447,27.769230923942068,22.703429315502028
IS,개인,3,4.0,BUY,1121,2.162165241434164,3.446650697220486,47.1900089206066,47.63603925066904,-0.8368200836820106,24.383615485904024,11.530481071360553
OOS,개인,3,4.0,BUY,312,4.095524746425585,7.471041218690222,49.53846153846154,52.88461538461539,1.4998228555682447,27.769230923942068,22.703429315502028
IS,개인,3,4.5,BUY,1121,2.162165241434164,3.446650697220486,47.1900089206066,47.63603925066904,-0.8368200836820106,24.383615485904024,11.530481071360553
OOS,개인,3,4.5,BUY,312,4.095524746425585,7.471041218690222,49.53846153846154,52.88461538461539,1.4998228555682447,27.769230923942068,22.703429315502028
IS,개인,3,5.0,BUY,1121,2.162165241434164,3.446650697220486,47.1900089206066,47.63603925066904,-0.8368200836820106,24.383615485904024,11.530481071360553
OOS,개인,3,5.0,BUY,312,4.095524746425585,7.471041218690222,49.53846153846154,52.88461538461539,1.4998228555682447,27.769230923942068,22.703429315502028
IS,개인,5,-5.0,SELL,2721,1.4458252910817357,2.4174657183486374,46.67401690554943,45.05696435134141,-1.7964071856287456,22.556808471193374,8.614905885121988
OOS,개인,5,-5.0,SELL,1018,5.261344435182091,8.927119671681776,54.654377880184335,56.581532416502945,2.793918918918925,25.706545559489065,34.98684094719472
IS,개인,5,-4.5,SELL,2721,1.4458252910817357,2.4174657183486374,46.67401690554943,45.05696435134141,-1.7964071856287456,22.556808471193374,8.614905885121988
OOS,개인,5,-4.5,SELL,1018,5.261344435182091,8.927119671681776,54.654377880184335,56.581532416502945,2.793918918918925,25.706545559489065,34.98684094719472
