Year,Date,Code,Name,Strategy,Priority,VR,Change,Quality_Score,Expected_Return,Expected_WinRate,Return,Win
2022,2022-10-04,007390,네이처셀,Pension-SELL,2,3.4104196301564724,20.481927710843372,10,11.23,53.0,23.0,True
2023,2023-03-31,007390,네이처셀,A-Base-Premium,3,5.059902374478309,13.924050632911392,12,10.0,52.0,-41.66666666666666,False
2023,2023-09-12,007390,네이처셀,A-Base-Premium,3,3.381904023366692,6.167979002624672,8,10.0,52.0,-9.147095179233622,False
2023,2023-11-20,007390,네이처셀,A-Base-Premium,3,8.233716951685738,11.261872455902306,12,10.0,52.0,-12.317073170731708,False
2024,2024-03-18,007390,네이처셀,A-Base-Premium,3,5.24885581311626,7.5418994413407825,11,10.0,52.0,12.337662337662335,True
2024,2024-03-22,007390,네이처셀,A-Base-Premium,3,3.946323745002605,8.388814913448735,9,10.0,52.0,7.248157248157239,True
2024,2024-03-27,007390,네이처셀,A-Base-Premium,3,10.706098133887483,21.33492252681764,12,10.0,52.0,-15.32416502946955,False
2024,2024-05-21,007390,네이처셀,A-Base-Premium,3,11.523635709805172,20.70657507360157,12,10.0,52.0,-19.59349593495935,False
2024,2024-07-26,007390,네이처셀,A-Base-Premium,3,10.853678625502797,18.029739776951672,12,10.0,52.0,-20.86614173228346,False
2024,2024-10-24,007390,네이처셀,A-Base-Premium,3,9.293746606837326,22.63157894736842,12,10.0,52.0,87.76824034334764,True
2025,2025-03-27,007390,네이처셀,A-Base-Premium,3,6.378591907316222,15.019762845849801,12,10.0,52.0,-4.639175257731953,False
2025,2025-07-30,007390,네이처셀,A-Base-Premium,3,9.104643123896428,21.581548599670512,12,10.0,52.0,-43.63143631436315,False
2025,2025-08-11,007390,네이처셀,Pension-SELL,2,3.353410030367248,12.439024390243903,6,11.23,53.0,-1.7353579175705014,False
2025,2025-10-20,007390,네이처셀,A-Base-Premium,3,4.136196599585235,7.088122605363985,9,10.0,52.0,-1.073345259391767,False
2021,2021-04-21,007660,이수페타시스,A-Base-Premium,3,5.661203622960274,8.069258412283567,11,10.0,52.0,-5.864570737605801,False
2021,2021-06-11,007660,이수페타시스,A-Base-Premium,3,5.297516748333174,5.6358807907937445,10,10.0,52.0,-7.234636871508382,False
2021,2021-06-15,007660,이수페타시스,A-Base-Premium,3,3.2908657544647224,6.043956043956044,8,10.0,52.0,-10.362694300518138,False
2021,2021-08-19,007660,이수페타시스,A-Base-Premium,3,8.969376052777275,11.26082771896054,12,10.0,52.0,13.84083044982698,True
2021,2021-10-28,007660,이수페타시스,A-Base-Premium,3,4.7974598513078615,8.45404266526205,9,10.0,52.0,6.265177270519673,True
2021,2021-11-05,007660,이수페타시스,A-Base-Premium,3,3.883322622580801,12.490382149269044,10,10.0,52.0,10.852713178294572,True
2021,2021-11-29,007660,이수페타시스,A-Base-Premium,3,3.44228213304223,10.874808156106116,9,10.0,52.0,23.254894206051024,True
2021,2021-12-23,007660,이수페타시스,A-Base-Premium,3,3.834996010504205,15.972629521016618,10,10.0,52.0,10.822656776803786,True
2022,2022-04-18,007660,이수페타시스,Pension-SELL,2,3.385064633885877,7.478491065519524,8,11.23,53.0,-15.455665024630536,False
2022,2022-05-25,007660,이수페타시스,A-Base-Premium,3,4.793174993705891,10.383050371825453,11,10.0,52.0,-18.418711071564765,False
2022,2022-11-15,007660,이수페타시스,A-Base-Premium,3,4.023024536435528,9.1651865008881,10,10.0,52.0,-3.481939472827855,False
