Strategy,Signals,Avg_Return_10D,Avg_Return_20D,Win_Rate_10D,Win_Rate_20D,Median_Return_20D,Std_Return_20D,Max_Gain_20D,Max_Loss_20D,Period,Track,Combo_Size,Description
외국인_BUY & 금융투자_BUY & 연기금_SELL,572,1.3994564680526902,2.868425608461589,45.97902097902098,42.65734265734265,-2.1627287831809228,27.784728529073792,313.9499620924944,-39.93549332942384,IS,A,3.0,
외국인_BUY & 금융투자_SELL & 연기금_BUY,608,1.9021351839692544,1.6398878159311907,47.69736842105263,45.88815789473684,-1.752169636599754,20.107497891109134,142.58402444347445,-45.03538928210313,IS,A,3.0,
외국인_BUY & 금융투자_SELL & 연기금_SELL,472,1.593218055194865,3.9820058819223334,45.55084745762712,45.55084745762712,-1.3332812566575314,25.323936327352225,168.67567567567568,-58.09954751131221,IS,A,3.0,
외국인_SELL & 금융투자_BUY & 연기금_BUY,316,0.7142540696844408,1.8166083721435786,44.936708860759495,43.35443037974683,-2.4672701768969016,20.191182545619178,95.07079181961196,-38.36477987421384,IS,A,3.0,
외국인_SELL & 금융투자_BUY & 연기금_SELL,226,1.6107796431091124,2.5163013129812914,46.902654867256636,47.78761061946903,-1.405291143248255,22.85447144864424,140.49513704686115,-46.889952153110045,IS,A,3.0,
외국인_SELL & 금융투자_SELL & 연기금_BUY,266,2.9280569424686114,3.295097373013609,48.49624060150376,49.24812030075188,-0.13492063492063222,21.526215793356787,145.05828687278256,-32.45098039215686,IS,A,3.0,
외국인_SELL & 금융투자_SELL & 연기금_SELL,308,3.582245401042484,5.227273820484026,49.02597402597403,47.07792207792208,-0.9080061250723415,29.978156028048552,232.2259136212625,-43.93024815560027,IS,A,3.0,
개인_BUY & 외국인_BUY & 금융투자_BUY & 연기금_SELL,17,6.894061895318901,16.45222051448488,47.05882352941176,47.05882352941176,-2.079002079002079,39.559579053313904,111.98538105987316,-17.529880478087644,IS,A,4.0,
개인_BUY & 외국인_BUY & 금융투자_SELL & 연기금_BUY,23,-1.1258795791800351,1.9274994237606182,56.52173913043478,56.52173913043478,2.183406113537112,23.71467535919813,49.05213270142179,-45.03538928210313,IS,A,4.0,
개인_BUY & 외국인_BUY & 금융투자_SELL & 연기금_SELL,57,1.274335817326378,4.619306340397225,40.35087719298245,47.368421052631575,-1.076923076923075,22.940289099923145,74.42748091603053,-34.77366255144033,IS,A,4.0,
개인_BUY & 외국인_SELL & 금융투자_BUY & 연기금_BUY,178,0.28463709837378304,2.069209954815595,42.69662921348314,43.82022471910113,-3.3191477525589654,21.02744905122214,88.52459016393443,-38.36477987421384,IS,A,4.0,
