Date,Open,High,Low,Close,Volume,Code,Name,Market,Volume_Ratio,Z_Score,Return_1D,Return_3D,Return_5D,Return_10D
2024-01-25,39000,42400,36940,37060,4733405,457190,이수스페셜티케미컬,KOSPI,7.125617209610406,3.317391792933796,-4.695089044792229,-5.450620615218565,-5.828386400431732,23.04371289800324
2024-02-06,39660,50700,39660,50700,6992660,457190,이수스페셜티케미컬,KOSPI,7.133169166236527,4.2865646630355,-0.19723865877712032,-8.481262327416173,-4.536489151873767,0.0
2024-08-13,32150,40650,31800,36600,4605926,457190,이수스페셜티케미컬,KOSPI,8.99008459325362,6.950908966467406,4.508196721311475,9.972677595628415,33.46994535519126,20.62841530054645
2024-08-20,41000,52300,40950,52300,5520683,457190,이수스페셜티케미컬,KOSPI,5.8674202534762685,5.3271761346641675,-6.596558317399618,-13.288718929254303,-16.826003824091778,-2.8680688336520075
2022-04-07,5001,6504,4982,6230,23412877,103590,일진전기,KOSPI,12.130906814529828,7.459178491098516,-10.930979133226325,-17.913322632423757,-15.63402889245586,-12.439807383627608
2022-05-13,5190,6211,5190,5871,13798608,103590,일진전기,KOSPI,9.785746069802174,3.57411860980981,-1.6181229773462782,-0.3236245954692557,-0.9708737864077669,-2.4186680292965423
2022-05-31,5927,6938,5899,6315,18747569,103590,일진전기,KOSPI,6.609007846244461,4.075808927428604,1.2034837688044338,5.684877276326207,2.8503562945368173,-3.737133808392716
2022-11-01,4201,4792,4187,4443,2632111,103590,일진전기,KOSPI,9.060106902687645,4.63532564942678,-2.1381949133468376,-1.8005851901868108,0.2025658338960162,6.819716407832546
2023-03-14,4811,6324,4561,5133,22147703,103590,일진전기,KOSPI,16.920873837180473,7.603327384245405,15.09838301188389,10.5006818624586,6.078316773816481,14.377556984219755
2023-03-15,5151,6201,5104,5908,21077041,103590,일진전기,KOSPI,8.947850967224213,5.195132119260976,0.16926201760324985,-7.836831415030467,-6.2288422477995935,-0.7955314827352742
2023-04-04,5974,7827,5974,7421,26157167,103590,일진전기,KOSPI,5.270073367124825,4.7333948993417945,-0.8893680097021964,-11.467457216008624,-9.176660827381756,-5.349683331087454
2023-08-02,9822,11713,9737,10267,17318204,103590,일진전기,KOSPI,9.23914992179385,6.040349006962143,-9.116587123794682,-10.499659101977208,-10.772377520210382,-15.194311872991136
2024-01-18,11160,13420,11150,12450,6993671,103590,일진전기,KOSPI,10.189181083625366,6.641534597782323,-0.5622489959839357,-4.337349397590361,2.8112449799196786,-11.646586345381527
2024-03-04,10600,12450,10600,11960,5439980,103590,일진전기,KOSPI,6.630647734391364,4.393936007315996,2.842809364548495,0.7525083612040134,10.618729096989966,43.812709030100336
2024-03-18,15700,18500,15570,17200,17113064,103590,일진전기,KOSPI,7.157290628702038,6.431658043929747,-4.011627906976744,8.13953488372093,11.337209302325581,15.465116279069768
2024-10-17,23550,26350,23500,26100,4174733,103590,일진전기,KOSPI,6.677258195219209,5.126139237437189,-1.3409961685823755,-4.597701149425287,-6.896551724137931,-4.406130268199234
2023-03-02,34750,39700,34750,39000,791906,012510,더존비즈온,KOSPI,6.677654060676892,6.999232686986047,-6.282051282051282,9.871794871794872,35.64102564102564,-7.6923076923076925
2023-03-07,37400,43700,36550,42850,1040605,012510,더존비즈온,KOSPI,5.791662017014803,5.754028602704732,13.885647607934656,13.068844807467912,-18.319719953325556,-22.520420070011667
2023-03-08,43500,50000,43500,48800,2840028,012510,더존비즈온,KOSPI,8.96856092490215,6.928508115717655,8.401639344262295,-6.147540983606557,-27.049180327868854,-31.65983606557377
2023-08-03,27050,32150,25800,31350,1141196,012510,더존비즈온,KOSPI,7.662612871515822,7.4041625953052135,3.6682615629984054,3.9872408293460926,0.6379585326953748,-0.1594896331738437
2024-01-05,29100,32400,29000,30700,615538,012510,더존비즈온,KOSPI,6.959438756762562,5.843919689370383,11.237785016286644,5.537459283387622,8.306188925081432,42.83387622149837
2024-01-08,31200,34200,31050,34150,729540,012510,더존비즈온,KOSPI,6.134183691701649,5.1565499670183526,-2.4890190336749636,-4.831625183016105,-2.049780380673499,29.428989751098094
2024-01-18,36600,42800,36200,40800,2903682,012510,더존비즈온,KOSPI,8.67659125612194,7.049834218559625,7.4754901960784315,4.6568627450980395,19.607843137254903,8.455882352941178
2024-01-19,42600,46800,41550,43850,2973633,012510,더존비즈온,KOSPI,6.221219256317728,5.204491639930208,0.798175598631699,5.473204104903079,9.92018244013683,11.630558722919043
2024-04-04,44300,53900,44250,53300,2778307,012510,더존비즈온,KOSPI,6.508356328507304,3.1610534346977115,-6.0037523452157595,8.442776735459661,10.131332082551594,2.6266416510318953
